C1:1
C2:1
C3:1
C4:1
C5:1
IC2:1
IC3:1
J1:1
J2:1
J4:1
J5:1
J6:1
J7:1
R1:1
R2:1
R3:1
R4:1
SW1:1
VR1:1
VR2:1
VR3:1
VR4:1
VR5:1
