Designator,Mid X,Mid Y,Rotation,Layer
R84,204.089,-44.421,270.0,top
R85,245.491,-48.387,180.0,top
R87,153.661,-68.26,0.0,top
R88,153.661,-64.196,0.0,top
R89,153.265,-71.689,180.0,top
R9,79.923,-53.086,270.0,top
R90,142.851,-72.295,270.0,top
R91,149.201,-77.15,0.0,top
R92,237.109,-63.5,90.0,top
R93,220.726,-59.182,270.0,top
R94,216.916,-59.436,270.0,top
R95,209.804,-51.054,0.0,top
R96,237.109,-58.068,90.0,top
R97,209.423,-57.658,180.0,top
R98,209.423,-54.356,180.0,top
R99,243.205,-64.643,0.0,top
S1,55.6125,-38.609,0.0,top
S2,111.937,-41.028,90.0,top
S3,112.98,-93.86,90.0,top
S4,234.036,-93.606,90.0,top
TM1,58.587,-63.627,0.0,top
TM2,123.738,-54.737,90.0,top
TM3,112.054,-54.737,90.0,top
TM4,194.437,-78.359,0.0,top
TM5,208.661,-78.486,0.0,top
TM6,248.412,-37.084,0.0,top
TM7,151.614,-56.576,0.0,top
U1,168.594,-54.61,270.0,top
U10,33.336,-48.641,270.0,top
U2,142.051,-112.014,270.0,top
U3,167.832,-112.522,270.0,top
U5,200.852,-57.912,270.0,top
U6,244.1185,-59.2475,270.0,top
U8,200.638,-69.235,270.0,top
VR1,77.809,-41.83625,0.0,top
VR10,193.588,-41.83625,0.0,top
VR11,214.294,-41.83625,0.0,top
VR12,153.588,-41.83625,0.0,top
VR13,261.575,-41.78425,0.0,top
VR14,153.588,-94.83625,0.0,top
VR15,173.273,-94.83625,0.0,top
VR16,194.138,-94.83625,0.0,top
VR17,214.929,-94.83625,0.0,top
VR18,261.067,-94.78425,0.0,top
VR19,32.5,-68.83625,0.0,top
VR2,96.986,-41.83625,0.0,top
VR20,32.5,-94.83625,0.0,top
VR3,132.628,-41.83625,0.0,top
VR4,76.753,-94.83625,0.0,top
VR5,54.438,-94.83625,0.0,top
VR6,131.514,-94.83625,0.0,top
VR7,96.946,-94.83625,0.0,top
VR8,173.273,-41.83625,0.0,top
VR9,232.328,-41.83625,0.0,top
